traffic_control_type,visibility,light,road_surface_condition,classification_of_accident,injury,driver_condition,speeding,aggressive_and_disturbed_driving,alcohol,disability
Traffic Signal,Clear,Dawn,Dry,Fatal,Fatal,Unknown,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Wet,Fatal,None,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Wet,Fatal,None,Inattentive,None,Yes,None,None
Stop Sign,Clear,Daylight,Wet,Fatal,Fatal,None,None,Yes,None,None
No Control,Rain,Dark,Wet,Fatal,Minimal,None,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Fatal,None,Normal,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Fatal,None,None,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Fatal,Fatal,Normal,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Fatal,Minimal,Normal,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Fatal,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Unknown,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Pedestrian Crossover,Clear,Dark,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Pedestrian Crossover,Clear,Dark,Dry,Non-Fatal Injury,Minor,Unknown,Yes,Yes,None,None
Pedestrian Crossover,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Fatal,None,Normal,None,None,None,None
No Control,Rain,Dark,Wet,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Fatigue,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,Unknown,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Fatal,Fatal,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Fatal,None,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Fatal,None,Inattentive,None,Yes,None,None
No Control,Snow,Daylight,Slush,Non-Fatal Injury,Major,Unknown,Yes,Yes,None,None
No Control,Snow,Daylight,Slush,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,Had Been Drinking,None,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Other,Yes,Yes,None,None
No Control,Clear,Dusk,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Dusk,Dry,Fatal,None,Inattentive,None,None,None,None
No Control,Clear,Dusk,Dry,Fatal,Fatal,None,None,None,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,Minimal,Unknown,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Snow,Dark,Wet,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Loose Snow,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Dark,Loose Snow,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Dark,Loose Snow,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Dark,Loose Snow,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Dark,Loose Snow,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Loose Snow,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,None,Inattentive,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,Fatal,None,Yes,Yes,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Unknown,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Fatal,None,None,None,Yes,None
No Control,Clear,Dark,Dry,Fatal,Minor,None,None,None,Yes,None
No Control,Clear,Dark,Dry,Fatal,Minor,"Ability Impaired, Alcohol Over .08",None,None,Yes,None
No Control,Clear,Dark,Dry,Fatal,None,None,None,None,Yes,None
No Control,Clear,Dark,Dry,Fatal,Minor,Normal,None,None,Yes,None
No Control,Clear,Dark,Dry,Fatal,None,Normal,None,None,Yes,None
No Control,Clear,Dark,Dry,Fatal,None,None,None,None,Yes,None
No Control,Clear,Dark,Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Minor,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Minor,Inattentive,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Unknown,None,Yes,None,None
No Control,Clear,Dark,Dry,Fatal,None,"Ability Impaired, Alcohol",None,None,Yes,None
No Control,Clear,Dark,Dry,Fatal,Minor,None,None,None,Yes,None
No Control,Clear,Dark,Dry,Fatal,Fatal,None,None,None,Yes,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,"Ability Impaired, Alcohol Over .08",None,Yes,Yes,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,Yes,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,None,Had Been Drinking,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,"Ability Impaired, Alcohol",Yes,Yes,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,Other,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,Yes
No Control,Rain,Daylight,Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,Major,Inattentive,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,Unknown,None,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Had Been Drinking,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minimal,Unknown,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minimal,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minimal,Inattentive,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,Yes
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,Yes,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,"Ability Impaired, Alcohol Over .08",None,None,Yes,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,None,None,Yes,Yes,None,None
No Control,Rain,Daylight,Wet,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Rain,Dark,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Minimal,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Minor,None,None,Yes,None,None
